id,code,name,description,price,unit,category,brand,hs_code,weight,volume,qty,spec,specs_l,specs_w,specs_h,specification,area,location,box_no,material,color,image,image_filename,image_data,remarks,tags,create_time,update_time,restaurant_brand_id,material_brand,suggested_waste_rate,excel_src_row,pic_folder,code_before_cleanup
40,HW10-GYHG-XB15-001,4D标签工具,,2.2,套,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_83DE7058AFB546CB9BF3835EFCB45C05"",1)",,,,,,,,,,41,前厅杂件,HW10-GYHG-XB15-001
41,HW10-GYHG-X985-001,买单夹,200mm*100mm,15.8,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_7EADAA78F1034DFF81B367C1022C71AF"",1)",,,,,,,,,,42,前厅杂件,HW10-GYHG-X985-001
42,HW10-GYHG-X664-001,吸管盒,230*180*100mm,29.8,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_D0E01679DB90441A87C92D4977ED1C5B"",1)",,,,,,,,,,43,前厅杂件,HW10-GYHG-X664-001
43,HW10-GYHG-X516-001,杨梅木托盘,直径310mm,22,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_6F55BE19DF294827B52238CE1F37DF02"",1)",,,,,,,,,,44,前厅杂件,HW10-GYHG-X516-001
44,HW10-GYHG-X9AF-001,杨梅碟,直径60mm,3.5,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_C9FA48E030874659B452398F0628B8B0"",1)",,,,,,,,,,45,前厅杂件,HW10-GYHG-X9AF-001
45,HW10-GYHG-X262-002,酸梅汤壶,0.8L,55,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_907C0244BDFB48288C71AB788151C291"",1)",,,,,,,,,,46,前厅杂件,HW10-GYHG-X262-002
46,HW10-GYHG-X51A-001,牙签盘（糖盘）,250mm*100mm,39.9,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_B61FBC4E1F3747BF8314368CC76B164F"",1)",,,,,,,,,,47,前厅杂件,HW10-GYHG-X51A-001
47,HW10-GYHG-X613-001,薄荷糖,,可定制外包装，微信Zyl19912468、liulingmei2012,袋,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_ACB2554643404E418C9A836CB903AC1A"",1)",,,,,,,,,,48,前厅杂件,HW10-GYHG-X613-001
48,HW10-GYHG-XF32-001,工具箱,,228,套,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_2888B6ECB9DE43F6B7768689A606DD85"",1)",,,,,,,,,,49,前厅杂件,HW10-GYHG-XF32-001
49,HW10-GYHG-X011-001,音响,品牌名称：曼龙,2550,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_1C3AF569F77944ADB13548EDAE4CAFCB"",1)",,,,,,,,,,50,前厅杂件,HW10-GYHG-X011-001
50,HW10-GYHG-X709-001,话筒,,129,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_8DFCB181D2AA46A89048A9CDF47DDE05"",1)",,,,,,,,,,51,前厅杂件,HW10-GYHG-X709-001
51,HW10-GYHG-X5FB-001,免洗手液,,75,瓶,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_23A9293765FB43EBBDAC3250D8AB656A"",1)",,,,,,,,,,52,前厅杂件,HW10-GYHG-X5FB-001
52,HW10-GYHG-XA4C-001,不锈钢保温水壶,,39.8,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_5C2FA19107BA4FCB95E974C2D8A1C0DF"",1)",,,,,,,,,,53,前厅杂件,HW10-GYHG-XA4C-001
53,HW10-GYHG-X9D5-001,纸杯架子,,148,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_F7098A3811F3486E834B56B0CDD5281E"",1)",,,,,,,,,,54,前厅杂件,HW10-GYHG-X9D5-001
54,HW10-GYHG-XF32-002,行李手牌,,3,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_C4588D59307B46EBBCBA9EAA6418D3E7"",1)",,,,,,,,,,55,前厅杂件,HW10-GYHG-XF32-002
55,HW10-GYHG-X41F-001,体温枪,,199,把,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_7F3F1FCB406B4A01816C95CC61E0E920"",1)",,,,,,,,,,56,前厅杂件,HW10-GYHG-X41F-001
56,HW10-GYHG-X6A8-001,美的纯净水机,根据情况操作购买,199,台,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_D3297D4CD21148AC823225E00DFDB8DE"",1)",,,,,,,,,,57,前厅杂件,HW10-GYHG-X6A8-001
57,HW10-GYHG-X7C5-001,等位果汁机,品牌: VTSMAX/维思美型号: YLJ-302生产企业: 维思美功率: 500W容量: 54L,1780,台,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_43293F4FB32842F1A750CE8613C8A2C1"",1)",,,,,,,,,,58,前厅杂件,HW10-GYHG-X7C5-001
